S.no,Instagram name,Name,Subscribers,Audience country,Authentic engagement,Engagement average,Category_1,Category_2
392,prillylatuconsina96,Prilly Latuconsina,49200000.0,indonesia,107800.0,151700.0,cinema & actors/actresses,unknown
393,kjapa,KJ Apa,18500000.0,united states,279800.0,399800.0,cinema & actors/actresses,unknown
394,weareone.exo,EXO Official,10000000.0,indonesia,602400.0,756400.0,unknown,unknown
395,alissaviolet,Alissa Violet,11700000.0,united states,387100.0,622800.0,modeling,unknown
396,shehnaazgill,Shehnaaz Gill,11800000.0,india,527600.0,657800.0,cinema & actors/actresses,unknown
397,clean_0828,김세정,8300000.000000001,indonesia,712400.0,888300.0,lifestyle,unknown
398,hshq,Harry Styles HQ,6600000.0,united states,638500.0,1100000.0,cinema & actors/actresses,fashion
399,deiveleonardo,Deive Leonardo,12100000.0,brazil,330300.0,608100.0,literature & journalism,trainers & coaches
400,markruffalo,Mark Ruffalo,20900000.0,brazil,276400.0,348100.0,cinema & actors/actresses,unknown
401,premierleague,Premier League,59200000.0,united kingdom,83700.0,121900.0,sports with a ball,unknown
402,txt_bighit,TOMORROW X TOGETHER OFFICIAL,12800000.0,indonesia,443900.0,560300.0,unknown,unknown
403,nickyjam,NICKY JAM,43400000.0,spain,120300.0,166400.0,unknown,unknown
404,lilnasx,MONTERO,12400000.0,united states,344600.0,576500.0,unknown,unknown
405,yasmine_sabri,Yasmine Sabri,19600000.0,egypt,262900.0,368800.0,cinema & actors/actresses,lifestyle
406,taina,Tainá Costa,16100000.000000002,brazil,212900.0,444800.0,unknown,unknown
407,anyataylorjoy,Anya Taylor-Joy,9100000.0,united states,554700.0,799500.0,modeling,cinema & actors/actresses
408,bellapoarch,Bella Poarch,14000000.0,united states,379300.0,512799.99999999994,lifestyle,unknown
409,frenkiedejong,Frenkie de Jong,10800000.0,spain,443800.0,667000.0,sports with a ball,unknown
410,abdevilliers17,AB de Villiers,18800000.0,india,328300.0,378800.0,sports with a ball,lifestyle
411,conangray,Conan Gray,6800000.0,brazil,713000.0,1100000.0,unknown,unknown
412,mariabecerra,Maria Becerra,10400000.0,argentina,289200.0,683000.0,unknown,unknown
413,annakendrick47,Anna Kendrick,22200000.0,united states,244300.0,319300.0,cinema & actors/actresses,unknown
414,jinyoung_0922jy,박진영,9900000.0,indonesia,544800.0,720500.0,unknown,unknown
415,o.dembele7,Ousmane Dembélé,11500000.0,spain,358500.0,613200.0,sports with a ball,unknown
416,alwaysramcharan,Ram Charan,8300000.000000001,india,766500.0,858300.0,cinema & actors/actresses,unknown
417,krisjenner,Kris Jenner,49900000.0,united states,92100.0,140000.0,shows,beauty
418,larissamanoela,Larissa Manoela,46800000.0,brazil,90100.0,149600.0,cinema & actors/actresses,unknown
419,demetozdemir,Demet Özdemir,15400000.0,india,357800.0,456600.0,cinema & actors/actresses,unknown
420,melo,LaMelo Ball,9200000.0,united states,377500.0,767400.0,lifestyle,sports with a ball
421,dqsalmaan,Dulquer Salmaan,11100000.0,india,462400.0,625800.0,cinema & actors/actresses,unknown
422,kehlani,Kehlani,14200000.0,united states,314800.0,490500.0,family,unknown
423,_seorina,설인아 sᴇᴏʀɪɴᴀ,6600000.0,south korea,858300.0,1100000.0,lifestyle,cinema & actors/actresses
424,anupamaparameswaran96,Anupama Parameswaran,12500000.0,india,485000.0,554800.0,cinema & actors/actresses,unknown
425,marktuan,Mark Tuan,12900000.0,indonesia,423500.0,534400.0,cinema & actors/actresses,modeling
426,evcenf,Fahriye Evcen Özçivit,13100000.0,turkey,418900.0,528800.0,lifestyle,beauty
427,yejinhand,손예진,7100000.0,indonesia,757900.0,986800.0,cinema & actors/actresses,unknown
428,barbieferreira,barbie ferreira,6300000.0,united states,609400.0,1100000.0,cinema & actors/actresses,unknown
429,mingue.k,김민규,6100000.0,indonesia,926100.0,1100000.0,lifestyle,unknown
430,frenchmontana,French Montana,31000000.0,united states,134300.0,221200.0,unknown,unknown
431,sadiomaneofficiel,Sadio Mane,12100000.0,united kingdom,390400.0,556400.0,sports with a ball,unknown
432,shaymitchell,Shay Mitchell,34300000.0,united states,140100.0,196400.0,beauty,family
433,peytonlist,Peyton List,20200000.0,united states,221200.0,332500.0,cinema & actors/actresses,unknown
434,dixiedamelio,dixie,24800000.0,united states,184700.0,270700.0,clothing & outfits,unknown
435,alok,Alok,27800000.0,brazil,188800.0,241500.0,unknown,unknown
436,yaocabrera,Yao Cabrera,16500000.0,argentina,187400.0,406800.0,unknown,unknown
437,amandacerny,Amanda 𝕮𝖊𝖗𝖓𝖞,23700000.0,india,175500.0,281400.0,humor & fun & happiness,unknown
438,parineetichopra,𝙿𝚊𝚛𝚒𝚗𝚎𝚎𝚝𝚒 𝙲𝚑𝚘𝚙𝚛𝚊 🫧,37700000.0,india,153500.0,177300.0,cinema & actors/actresses,unknown
439,gururandhawa,Guru Randhawa,32900000.0,india,166400.0,204500.0,unknown,unknown
440,chelseafc,Chelsea FC,35600000.0,indonesia,125000.0,186900.0,sports with a ball,unknown
441,layzhang,Lay Zhang,14200000.0,indonesia,446100.0,472500.0,unknown,unknown
442,maisa,#NAME?,44800000.0,brazil,108900.0,148400.0,unknown,unknown
443,wi__wi__wi,위하준 Wi Ha Jun,10000000.0,south korea,556900.0,670000.0,lifestyle,unknown
444,madhuridixitnene,Madhuri Dixit,32700000.000000004,india,173000.0,200400.0,cinema & actors/actresses,unknown
